Type	LineID	variants_NB
NaN	NaN1499	23
NaN	NaN1914	77
NaN	NaN0013	82
NaN	NaN484	86
NaN	NaN1510	93
NaN	NaN0586	93
NaN	NaN1452	95
NaN	NaN118	111
NaN	NaN1039	117
NaN	NaN1005	118
NaN	NaN1219	118
NaN	NaN1713	119
NaN	NaN1931	119
NaN	NaN250	124
NaN	NaN1885	124
NaN	NaN0601	129
NaN	NaN1792	129
NaN	NaN389	130
NaN	NaN1737	133
NaN	NaN1500	136
NaN	NaN0840	136
NaN	NaN0882	142
NaN	NaN205	144
NaN	NaN197	152
NaN	NaN416	153
NaN	NaN1353	160
NaN	NaN1579	161
NaN	NaN0695	163
NaN	NaN214	166
NaN	NaN1072	175
NaN	NaN1398	178
NaN	NaN0635	181
NaN	NaN0731	182
NaN	NaN1539	184
NaN	NaN270	184
NaN	NaN1340	186
NaN	NaN1849	189
NaN	NaN1951	192
NaN	NaN1722	192
NaN	NaN1364	194
NaN	NaN1809	197
NaN	NaN2335	197
NaN	NaN2141	198
NaN	NaN2034	200
NaN	NaN0744	206
NaN	NaN0900	211
NaN	NaN199	211
NaN	NaN1922	212
NaN	NaN1317	212
NaN	NaN2195	214
NaN	NaN1943	214
NaN	NaN1729	216
NaN	NaN1610	219
NaN	NaN1139	220
NaN	NaN1249	220
NaN	NaN1495	221
NaN	NaN1524	224
NaN	NaN0560	225
NaN	NaN0564	227
NaN	NaN1649	228
NaN	NaN164	229
NaN	NaN0648	231
NaN	NaN1451	232
NaN	NaN0938	233
NaN	NaN1549	233
NaN	NaN1831	238
NaN	NaN1975	240
NaN	NaN2318	241
NaN	NaN1996	244
NaN	NaN40	245
NaN	NaN169	246
NaN	NaN0558	250
NaN	NaN1492	251
NaN	NaN0652	251
NaN	NaN182	251
NaN	NaN2159	253
NaN	NaN149	254
NaN	NaN0623	255
NaN	NaN1891	258
NaN	NaN0549	258
NaN	NaN1344	259
NaN	NaN52	259
NaN	NaN297	260
NaN	NaN0913	261
NaN	NaN177	261
NaN	NaN2193	262
NaN	NaN1345	266
NaN	NaN0021	269
NaN	NaN1366	270
NaN	NaN0713	273
NaN	NaN1117	273
NaN	NaN1487	274
NaN	NaN1484	277
NaN	NaN0677	280
NaN	NaN0002	281
NaN	NaN1003	282
NaN	NaN1637	282
NaN	NaN0538	283
NaN	NaN1001	283
NaN	NaN1657	285
NaN	NaN1816	287
NaN	NaN1946	293
NaN	NaN2307	296
NaN	NaN175	297
NaN	NaN2308	298
NaN	NaN1562	299
NaN	NaN378	299
NaN	NaN0656	303
NaN	NaN312	303
NaN	NaN0886	306
NaN	NaN410	306
NaN	NaN0671	308
NaN	NaN2313	310
NaN	NaN2000	315
NaN	NaN1347	315
NaN	NaN1390	315
NaN	NaN1132	316
NaN	NaN1527	316
NaN	NaN1719	317
NaN	NaN0720	318
NaN	NaN0916	319
NaN	NaN1839	319
NaN	NaN288	319
NaN	NaN0969	323
NaN	NaN0760	324
NaN	NaN323	326
NaN	NaN0858	326
NaN	NaN1872	326
NaN	NaN2001	329
NaN	NaN0575	329
NaN	NaN86	330
NaN	NaN0922	330
NaN	NaN0597	334
NaN	NaN0669	335
NaN	NaN76	336
NaN	NaN1041	339
NaN	NaN1305	340
NaN	NaN1024	340
NaN	NaN2120	341
NaN	NaN75	341
NaN	NaN399	341
NaN	NaN204	342
NaN	NaN0755	343
NaN	NaN0004	344
NaN	NaN2317	347
NaN	NaN2037	347
NaN	NaN1474	348
NaN	NaN1708	350
NaN	NaN0946	350
NaN	NaN1665	350
NaN	NaN2033	354
NaN	NaN181	355
NaN	NaN0868	355
NaN	NaN0012	357
NaN	NaN0008	357
NaN	NaN77	358
NaN	NaN225	361
NaN	NaN1597	361
NaN	NaN1201	363
NaN	NaN0736	364
NaN	NaN1790	364
NaN	NaN0758	366
NaN	NaN1693	366
NaN	NaN259	367
NaN	NaN0813	368
NaN	NaN0975	368
NaN	NaN1984	368
NaN	NaN313	370
NaN	NaN1226	372
NaN	NaN0019	374
NaN	NaN0546	376
NaN	NaN1170	376
NaN	NaN1432	377
NaN	NaN1011	380
NaN	NaN1836	380
NaN	NaN208	383
NaN	NaN1915	384
NaN	NaN0901	386
NaN	NaN0678	386
NaN	NaN1656	387
NaN	NaN1138	389
NaN	NaN1212	391
NaN	NaN1859	393
NaN	NAN358	394
NaN	NaN1450	396
NaN	NaN144	398
NaN	NaN400	400
NaN	NaN0001	400
NaN	NaN1357	400
NaN	NaN436	401
NaN	NaN0941	402
NaN	NaN2262	402
NaN	NaN2160	404
NaN	NaN0936	406
NaN	NaN0689	406
NaN	NaN134	407
NaN	NaN2008	409
NaN	NaN1192	412
NaN	NaN132	414
NaN	NaN1570	414
NaN	NaN1469	415
NaN	NaN0918	415
NaN	NAN357	415
NaN	NaN1862	416
NaN	NaN0579	417
NaN	NaN217	417
NaN	NaN1577	418
NaN	NaN1083	418
NaN	NaN0725	419
NaN	NaN1026	419
NaN	NaN0037	421
NaN	NaN0739	422
NaN	NaN0596	423
NaN	NaN1600	426
NaN	NaN0704	426
NaN	NaN1533	427
NaN	NaN0847	428
NaN	NaN192	428
NaN	NaN220	428
NaN	NaN315	430
NaN	NaN280	430
NaN	NaN420	431
NaN	NaN450	434
NaN	NaN1580	434
NaN	NaN363	435
NaN	NaN0719	435
NaN	NaN0553	435
NaN	NaN2005	436
NaN	NaN0668	436
NaN	NaN1676	436
NaN	NaN180	439
NaN	NaN1682	440
NaN	NaN1481	441
NaN	NaN160	441
NaN	NaN2096	444
NaN	NaN0741	449
NaN	NaN0639	449
NaN	NaN0673	451
