LineID	variants_NB	syn_SNPs	ratio	type
NAN341	37	52	0.711538462	NaN
NAN342	37	86	0.430232558	NaN
NAN344	58	79	0.734177215	NaN
NAN345	26	34	0.764705882	NaN
NAN348	50	55	0.909090909	NaN
NAN349	28	49	0.571428571	NaN
NAN351	41	51	0.803921569	NaN
NAN352	16	26	0.615384615	NaN
NAN353	31	38	0.815789474	NaN
NAN355	26	33	0.787878788	NaN
NAN356	41	55	0.745454545	NaN
NAN357	13	25	0.52	NaN
NAN358	24	17	1.411764706	NaN
NaN0001	17	18	0.944444444	NaN
NaN0002	10	16	0.625	NaN
NaN0003	34	61	0.557377049	NaN
NaN0004	18	16	1.125	NaN
NaN0005	24	26	0.923076923	NaN
NaN0006	66	113	0.584070796	NaN
NaN0007	20	36	0.555555556	NaN
NaN0008	8	27	0.296296296	NaN
NaN0009	19	42	0.452380952	NaN
NaN0010	21	35	0.6	NaN
NaN0011	66	103	0.640776699	NaN
NaN0012	17	9	1.888888889	NaN
NaN0013	2	2	1	NaN
NaN0014	27	45	0.6	NaN
NaN0015	26	40	0.65	NaN
NaN0016	29	40	0.725	NaN
NaN0017	103	138	0.746376812	NaN
NaN0018	51	118	0.43220339	NaN
NaN0019	9	23	0.391304348	NaN
NaN0020	67	86	0.779069767	NaN
NaN0021	11	9	1.222222222	NaN
NaN0022	24	38	0.631578947	NaN
NaN0032	50	60	0.833333333	NaN
NaN0033	130	172	0.755813953	NaN
NaN0034	52	69	0.753623188	NaN
NaN0035	30	50	0.6	NaN
NaN0036	18	50	0.36	NaN
NaN0037	14	22	0.636363636	NaN
NaN0038	39	76	0.513157895	NaN
NaN0039	19	25	0.76	NaN
NaN0538	9	13	0.692307692	NaN
NaN0539	35	46	0.760869565	NaN
NaN0541	51	50	1.02	NaN
NaN0542	40	53	0.754716981	NaN
NaN0543	62	111	0.558558559	NaN
NaN0544	36	32	1.125	NaN
NaN0545	16	46	0.347826087	NaN
NaN0546	13	22	0.590909091	NaN
NaN0549	7	14	0.5	NaN
NaN0550	13	22	0.590909091	NaN
NaN0551	21	42	0.5	NaN
NaN0552	31	53	0.58490566	NaN
NaN0553	18	28	0.642857143	NaN
NaN0554	73	112	0.651785714	NaN
NaN0555	16	37	0.432432432	NaN
NaN0556	49	111	0.441441441	NaN
NaN0557	19	24	0.791666667	NaN
NaN0558	11	14	0.785714286	NaN
NaN0560	8	12	0.666666667	NaN
NaN0561	54	90	0.6	NaN
NaN0562	40	70	0.571428571	NaN
NaN0563	77	103	0.747572816	NaN
NaN0564	7	15	0.466666667	NaN
NaN0565	21	36	0.583333333	NaN
NaN0566	57	95	0.6	NaN
NaN0567	61	59	1.033898305	NaN
NaN0568	30	29	1.034482759	NaN
NaN0569	16	57	0.280701754	NaN
NaN0570	50	91	0.549450549	NaN
NaN0571	26	68	0.382352941	NaN
NaN0572	54	105	0.514285714	NaN
NaN0573	19	34	0.558823529	NaN
NaN0574	31	45	0.688888889	NaN
NaN0575	11	17	0.647058824	NaN
NaN0576	40	42	0.952380952	NaN
NaN0577	65	82	0.792682927	NaN
NaN0578	64	68	0.941176471	NaN
NaN0579	17	24	0.708333333	NaN
NaN0580	56	57	0.98245614	NaN
NaN0582	44	56	0.785714286	NaN
NaN0583	21	31	0.677419355	NaN
NaN0584	19	27	0.703703704	NaN
NaN0586	1	4	0.25	NaN
NaN0587	30	73	0.410958904	NaN
NaN0588	23	33	0.696969697	NaN
NaN0589	16	35	0.457142857	NaN
NaN0590	52	76	0.684210526	NaN
NaN0591	68	119	0.571428571	NaN
NaN0592	24	22	1.090909091	NaN
