Type	LineID	dvariant_NB
NaN	NaN405	16
NaN	NaN1770	96
NaN	NaN537	27
NaN	NaN113	19
NaN	NaN165	38
NaN	NaN44	38
NaN	NaN1723	44
NaN	NaN1016	23
NaN	NaN1495	8
NaN	NaN371	48
NaN	NaN1779	59
NaN	NaN2331	41
NaN	NaN1283	37
NaN	NaN141	43
NaN	NaN264	9
NaN	NAN348	50
NaN	NaN1690	50
NaN	NaN1894	47
NaN	NaN2300	29
NaN	NaN0783	50
NaN	NaN415	26
NaN	NaN1585	8
NaN	NaN1436	38
NaN	NaN0812	32
NaN	NaN103	46
NaN	NaN2309	46
NaN	NaN2285	72
NaN	NaN0858	6
NaN	NaN1116	57
NaN	NaN2074	48
NaN	NaN0574	31
NaN	NaN0648	11
NaN	NaN1408	21
NaN	NaN1602	27
NaN	NaN0994	47
NaN	NaN1070	23
NaN	NaN2125	48
NaN	NaN0621	17
NaN	NaN1304	35
NaN	NaN1958	37
NaN	NaN1566	36
NaN	NaN301	22
NaN	NaN1716	52
NaN	NaN2266	88
NaN	NaN1023	58
NaN	NaN1912	52
NaN	NaN285	45
NaN	NaN2206	45
NaN	NaN1170	12
NaN	NaN1506	46
NaN	NaN184	44
NaN	NaN1364	3
NaN	NaN311	54
NaN	NaN173	22
NaN	NaN1123	40
NaN	NaN1662	28
NaN	NaN0677	9
NaN	NaN2025	28
NaN	NaN1179	36
NaN	NaN1468	35
NaN	NaN1239	40
NaN	NaN1464	74
NaN	NaN1722	7
NaN	NaN1805	13
NaN	NaN1926	86
NaN	NaN333	34
NaN	NaN1368	39
NaN	NaN388	32
NaN	NaN1261	30
NaN	NaN1201	17
NaN	NaN0761	40
NaN	NaN0730	39
NaN	NaN1954	38
NaN	NaN1308	61
NaN	NaN0813	8
NaN	NaN1865	25
NaN	NaN0998	57
NaN	NaN1757	36
NaN	NaN0739	10
NaN	NaN0644	61
NaN	NaN0782	39
NaN	NaN0578	64
NaN	NaN0840	5
NaN	NaN70	39
NaN	NaN0650	57
NaN	NaN0854	99
NaN	NaN1022	39
NaN	NaN1913	17
NaN	NaN1949	57
NaN	NaN2011	29
NaN	NaN0001	17
NaN	NaN2147	51
NaN	NaN1886	26
NaN	NaN1940	33
