Type	Catigories	counts	total	Fractions
NaN	A->C*	5548	1899850	0.002920230545
NaN	A->T*	4993	1899850	0.002628102219
NaN	C->A*	76235	1899850	0.04012685212
NaN	C->G*	4775	1899850	0.002513356318
NaN	A->G*	8274	1899850	0.004355080664
NaN	C->T*	1800025	1899850	0.9474563781
EMS	A->C*	418	27411	0.01524935245
EMS	A->T*	375	27411	0.01368063916
EMS	C->A*	544	27411	0.01984604721
EMS	C->G*	128	27411	0.004669658166
EMS	A->G*	668	27411	0.02436977856
EMS	C->T*	25278	27411	0.9221845245
FN	A->C*	93	1135	0.08193832599
FN	A->T*	116	1135	0.1022026432
FN	C->A*	159	1135	0.1400881057
FN	C->G*	61	1135	0.05374449339
FN	A->G*	187	1135	0.1647577093
FN	C->T*	519	1135	0.4572687225
