Ortholog group	Gene name	Organism name	Ortholog gene name	Ortholog organism name	Relationship
460_454_3008	BdiBd21-3.1G0309700	BdistachyonBd21-3_v1.1	Sobic.002G350901	Sbicolor_v3.1.1	one-to-one
460_454_3548	BdiBd21-3.1G0309900	BdistachyonBd21-3_v1.1	Sobic.002G350800	Sbicolor_v3.1.1	many-to-one
460_454_7982	BdiBd21-3.1G0312600	BdistachyonBd21-3_v1.1	Sobic.002G349000	Sbicolor_v3.1.1	one-to-one
460_454_7613	BdiBd21-3.1G0000300	BdistachyonBd21-3_v1.1	Sobic.006G182200	Sbicolor_v3.1.1	many-to-one
460_454_16064	BdiBd21-3.1G0001100	BdistachyonBd21-3_v1.1	Sobic.001G158000	Sbicolor_v3.1.1	many-to-one
460_454_2118	BdiBd21-3.1G0001700	BdistachyonBd21-3_v1.1	Sobic.005G053900	Sbicolor_v3.1.1	many-to-many
460_454_2118	BdiBd21-3.1G0001700	BdistachyonBd21-3_v1.1	Sobic.005G053100	Sbicolor_v3.1.1	many-to-many
460_454_2118	BdiBd21-3.1G0001700	BdistachyonBd21-3_v1.1	Sobic.005G053800	Sbicolor_v3.1.1	many-to-many
460_454_2118	BdiBd21-3.1G0001700	BdistachyonBd21-3_v1.1	Sobic.005G053200	Sbicolor_v3.1.1	many-to-many
460_454_2119	BdiBd21-3.1G0003900	BdistachyonBd21-3_v1.1	Sobic.003G109000	Sbicolor_v3.1.1	many-to-one
460_454_6086	BdiBd21-3.1G0005000	BdistachyonBd21-3_v1.1	Sobic.001G000200	Sbicolor_v3.1.1	one-to-one
460_454_169	BdiBd21-3.1G0005100	BdistachyonBd21-3_v1.1	Sobic.001G000400	Sbicolor_v3.1.1	one-to-one
460_454_13289	BdiBd21-3.1G0005200	BdistachyonBd21-3_v1.1	Sobic.005G175000	Sbicolor_v3.1.1	one-to-many
460_454_13289	BdiBd21-3.1G0005200	BdistachyonBd21-3_v1.1	Sobic.001G000700	Sbicolor_v3.1.1	one-to-many
460_454_2381	BdiBd21-3.1G0005300	BdistachyonBd21-3_v1.1	Sobic.001G000800	Sbicolor_v3.1.1	one-to-one
460_454_15994	BdiBd21-3.1G0005500	BdistachyonBd21-3_v1.1	Sobic.001G001000	Sbicolor_v3.1.1	one-to-one
460_454_4577	BdiBd21-3.1G0005600	BdistachyonBd21-3_v1.1	Sobic.001G001200	Sbicolor_v3.1.1	one-to-one
460_454_8948	BdiBd21-3.1G0006300	BdistachyonBd21-3_v1.1	Sobic.001G001300	Sbicolor_v3.1.1	one-to-one
460_454_463	BdiBd21-3.1G0006700	BdistachyonBd21-3_v1.1	Sobic.001G001400	Sbicolor_v3.1.1	one-to-one
460_454_747	BdiBd21-3.1G0007000	BdistachyonBd21-3_v1.1	Sobic.001G002000	Sbicolor_v3.1.1	one-to-one
460_454_149	BdiBd21-3.1G0007300	BdistachyonBd21-3_v1.1	Sobic.001G002200	Sbicolor_v3.1.1	one-to-one
