Chromosome	Length
Bd1	75545850
Bd2	58866168
Bd3	60014739
Bd4	48751794
Bd5	28914687
scaffold_21	51847
scaffold_28	41804
scaffold_32	34162
scaffold_33	33468
scaffold_36	30753
scaffold_39	28800
scaffold_35	30968
scaffold_7	131237
scaffold_8	124560
scaffold_9	110726
scaffold_14	77597
scaffold_16	68302
scaffold_17	60980
scaffold_20	55922
scaffold_23	49575
scaffold_24	47288
scaffold_25	42947
scaffold_27	41877
scaffold_29	39869
scaffold_37	29329
scaffold_40	25315
